age,nationality,current_residence,marital_status,dependents,education_level,occupation,work_experience_years,sponsorship_status,financial_status,language_proficiency,purpose_of_travel,intended_duration,travel_history,target_country,visa_category (Label),previous_visa_rejections,criminal_record_check,medical_exam_status,document_completeness_score,visa_fee_payment_status,processing_time_days
24.0,Australia,Philippines,Single,3.0,High School,Farmer,8.0,University Admission,Medium,Unknown,Tourism,30,Previous Visa,US,Visitor,0,Clear,Passed,62,Paid,54
24.0,Paraguay,Chile,Single,4.0,PhD,Driver,30.0,Job Offer,Medium,IELTS 8.5,Tourism,30,Previous Visa,Australia,Visitor,2,Clear,Passed,75,Paid,63
51.0,Colombia,Netherlands,Married,4.0,High School,Chef,24.0,Job Offer,Low,TOEFL 99,PR,30,Previous Visa,US,PR,1,Clear,Passed,96,Paid,49
54.0,Algeria,South Korea,Divorced,1.0,High School,Artist,34.0,Job Offer,Medium,IELTS 7.5,Study,365,Clean,UK,Student,0,Clear,Passed,75,Paid,74
34.0,Guatemala,Ghana,Single,1.0,High School,Nurse,10.0,Job Offer,High,IELTS 8.0,Work,730,Previous Visa,Germany,Work,0,Clear,Passed,64,Paid,76
21.0,Singapore,Denmark,Divorced,4.0,High School,Doctor,11.0,University Admission,Medium,IELTS 6.5,Family,30,Previous Visa,US,Family,0,Clear,Passed,67,Paid,45
21.0,China,Brazil,Single,5.0,Master,Analyst,15.0,Family Sponsor,High,IELTS 7.5,Tourism,30,Clean,Germany,Visitor,0,Clear,Passed,92,Pending,51
36.0,Turkey,Portugal,Married,4.0,Master,Designer,25.0,Unknown,Low,IELTS 6.0,PR,30,Clean,US,PR,1,Minor Offense,Passed,81,Paid,53
57.0,Qatar,Guatemala,Single,5.0,Master,Doctor,2.0,University Admission,Medium,TOEFL 90,Study,365,Clean,UK,Student,0,Minor Offense,Pending,63,Waived,70
34.0,Austria,Colombia,Single,0.0,High School,Analyst,14.0,University Admission,Medium,IELTS 8.5,Study,365,Clean,Canada,Student,1,Clear,Passed,87,Waived,76
59.0,Venezuela,Ghana,Married,5.0,Bachelor,Nurse,5.0,Family Sponsor,Low,IELTS 6.0,Study,365,Clean,UK,Student,0,Clear,Failed,95,Paid,64
26.0,Finland,Brazil,Single,5.0,High School,Engineer,0.0,Job Offer,High,IELTS 8.5,Study,365,Clean,UK,Student,2,Clear,Pending,60,Paid,85
50.0,Narnia,Ghana,Widowed,2.0,Bachelor,Student,20.0,Unknown,Low,Unknown,Study,365,Previous Visa,US,Student,1,Clear,Passed,61,Paid,80
