applicant_id,age,nationality,current_residence,marital_status,dependents,education_level,occupation,work_experience_years,sponsorship_status,financial_status,language_proficiency,purpose_of_travel,intended_duration,travel_history,target_country,visa_category (Label),previous_visa_rejections,criminal_record_check,medical_exam_status,document_completeness_score,visa_fee_payment_status
C71788,24,Australia,Philippines,Single,3,High School,Farmer,8,University Admission,Medium,None,Tourism,Long-term,Previous Visa,US,Visitor,0,Clear,Passed,62,Paid
C67219,24,Paraguay,Chile,Single,4,PhD,Driver,30,Job Offer,Medium,IELTS 8.5,Tourism,Long-term,Previous Visa,Australia,Visitor,2,Clear,Passed,75,Paid
C54067,51,Colombia,Netherlands,Married,4,High School,Chef,24,Job Offer,Low,TOEFL 99,PR,Permanent,Previous Visa,US,PR,1,Clear,Passed,96,Paid
C07169,54,Algeria,South Korea,Divorced,1,High School,Artist,34,Job Offer,Medium,IELTS 7.5,Study,Long-term,Clean,UK,Student,0,Clear,Passed,75,Paid
C29619,34,Guatemala,Ghana,Single,1,High School,Nurse,10,Job Offer,High,IELTS 8.0,Work,Short-term,Previous Visa,Germany,Work,0,Clear,Passed,64,Paid
C101426,21,Singapore,Denmark,Divorced,4,High School,Doctor,11,University Admission,Medium,IELTS 6.5,Family,Short-term,Previous Visa,US,Family,0,Clear,Passed,67,Paid
C20442,21,China,Brazil,Single,5,Master,Analyst,15,Family Sponsor,High,IELTS 7.5,Tourism,Short-term,Clean,Germany,Visitor,0,Clear,Passed,92,Pending
C02663,36,Turkey,Portugal,Married,4,Master,Designer,25,None,Low,IELTS 6.0,PR,Permanent,Clean,US,PR,1,Minor Offense,Passed,81,Paid
C20372,57,Qatar,Guatemala,Single,5,Master,Doctor,2,University Admission,Medium,TOEFL 90,Study,Long-term,Clean,UK,Student,0,Minor Offense,Pending,63,Waived
C108152,34,Austria,Colombia,Single,0,High School,Analyst,14,University Admission,Medium,IELTS 8.5,Study,Long-term,Clean,Canada,Student,1,Clear,Passed,87,Waived
C15316,59,Venezuela,Ghana,Married,5,Bachelor,Nurse,5,Family Sponsor,Low,IELTS 6.0,Study,Long-term,Clean,UK,Student,0,Clear,Failed,95,Paid
C23539,26,Finland,Brazil,Single,5,High School,Engineer,0,Job Offer,High,IELTS 8.5,Study,Long-term,Clean,UK,Student,2,Clear,Pending,60,Paid
A03073,50,Narnia,Ghana,Widowed,2,Bachelor,Student,unknown,None,Low,None,Study,Permanent,Previous Visa,US,Student,1,Clear,Passed,61,Paid
C00202,29,Ethiopia,France,Divorced,0,High School,Engineer,39,None,Medium,IELTS 8.5,Work,Long-term,Clean,UK,Work,0,Clear,Passed,97,Paid
C52091,56,South Africa,UAE,Married,3,High School,Farmer,5,Job Offer,High,IELTS 6.0,Study,Long-term,Clean,Canada,Student,0,Clear,Pending,75,Paid
C15395,40,China,Chile,Married,1,Master,Sales,31,None,Medium,IELTS 5.0,Special,Long-term,Clean,Germany,Special,0,Clear,Passed,66,Paid
C88289,55,Belgium,South Korea,Married,1,Bachelor,Designer,3,Family Sponsor,High,None,Family,Long-term,Clean,US,Family,0,Clear,Passed,88,Paid
C46591,64,Venezuela,Spain,Married,5,High School,Artist,30,None,High,TOEFL 84,Work,Short-term,Clean,UK,Work,0,Clear,Passed,75,Paid
C14006,56,Honduras,Mexico,Single,3,High School,Analyst,7,University Admission,High,TOEFL 106,PR,Permanent,Previous Visa,US,PR,0,Clear,Passed,61,Paid
C13753,36,US,Indonesia,Single,1,Bachelor,Artist,33,Job Offer,Medium,IELTS 6.0,PR,Permanent,Clean,US,PR,0,Clear,Passed,99,Paid
A09705,27,Belgium,UAE,Single,three,Bachelor,Technician,20,University Admission,Low,None,Tourism,Permanent,Previous Visa,UK,Visitorrr,0,Clear,Passed,74,Pending
C82402,45,Ireland,South Korea,Married,1,Bachelor,Manager,32,None,Low,TOEFL 81,PR,Permanent,Clean,Canada,PR,0,Clear,Passed,60,Paid
C01750,29,Turkey,Uruguay,Married,3,Bachelor,Student,39,Job Offer,Low,TOEFL 74,PR,Permanent,Clean,Canada,PR,0,Clear,Passed,79,Paid
A04505,29,Narnia,Oman,Widowed,3,Master,Analyst,-3,Job Offer,High,,Study,Long-term,Previous Visa,Germany,Student,0,Clear,Passed,65,Paid
C11204,22,France,Portugal,Married,5,Bachelor,Developer,20,None,Low,IELTS 6.5,Study,Short-term,Clean,Canada,Student,0,Clear,Passed,79,Paid
C59655,40,Sri Lanka,Austria,Single,5,Bachelor,Artist,28,Job Offer,High,IELTS 6.5,Work,Long-term,Clean,UK,Work,1,Clear,Passed,72,Paid
C35528,30,Ghana,Singapore,Married,2,Master,Chef,17,Job Offer,Medium,IELTS 8.0,Work,Short-term,Previous Visa,Australia,Work,0,Clear,Passed,79,Paid
C101798,61,South Africa,Venezuela,Married,5,Master,Manager,40,Job Offer,Medium,IELTS 8.5,Work,Long-term,Clean,Australia,Work,0,Clear,Passed,65,Pending
C11981,21,Indonesia,Guatemala,Single,5,PhD,Doctor,0,University Admission,Medium,None,Tourism,Short-term,Previous Visa,Canada,Visitor,0,Clear,Passed,100,Paid
C61755,42,Paraguay,UK,Married,2,High School,Analyst,31,Job Offer,Medium,IELTS 6.5,Work,Short-term,Clean,UK,Work,0,Clear,Passed,98,Pending
C93023,40,US,China,Married,4,Bachelor,Artist,33,None,Medium,IELTS 6.0,Work,Long-term,Clean,US,Work,0,Clear,Passed,99,Paid
C13665,61,Bangladesh,Vietnam,Married,5,Master,Accountant,32,University Admission,High,TOEFL 115,Work,Short-term,Clean,Canada,Work,0,Clear,Passed,93,Paid
A03632,-5,Japan,Sri Lanka,Single,five,PhD,Engineer,37,Job Offer,Medium,IELTS 6.5,Study,Short-term,Clean,Germany,Visitorrr,0,Clear,Passed,76,Paid
C59280,58,Sweden,Norway,Single,0,High School,Accountant,32,University Admission,Low,IELTS 8.0,Work,Long-term,Clean,US,Work,2,Minor Offense,Passed,65,Paid
C61524,25,Poland,Austria,Single,1,High School,Artist,35,Job Offer,High,IELTS 7.0,Work,Short-term,Clean,Australia,Work,2,Clear,Passed,98,Paid
C31155,19,Thailand,Kenya,Single,5,Bachelor,Artist,37,Family Sponsor,Medium,IELTS 5.0,Work,Short-term,Clean,Canada,Work,1,Clear,Passed,86,Paid
C75640,65,Bangladesh,Guatemala,Single,3,Master,Designer,16,Family Sponsor,High,IELTS 8.0,Work,Long-term,Clean,UK,Work,0,Minor Offense,Passed,63,Paid
